Average hand positions in 3D per letter
========================================

[A]
landmark,x,y,z
14,-0.018479,-1.022972,-0.544425
15,-0.012579,-0.631396,-0.573275
16,-0.005572,-0.383824,-0.470757
17,-0.026496,-0.823791,-0.167033
18,-0.028642,-0.873720,-0.414806
19,-0.022603,-0.597812,-0.413791
20,-0.016586,-0.451825,-0.336876

[O]
landmark,x,y,z
0,0.000000,0.000000,0.000000
1,-0.012960,-0.123658,-0.410911
2,-0.021624,-0.369251,-0.563010
3,-0.026723,-0.606526,-0.598208
4,-0.026228,-0.774425,-0.592794
5,0.004885,-0.596337,-0.586827
6,-0.005557,-0.962422,-0.620299
7,-0.016091,-0.949258,-0.554696
8,-0.021859,-0.860404,-0.495473
9,0.009394,-0.619982,-0.354005
10,-0.001753,-1.006411,-0.417175
11,-0.013389,-0.957094,-0.381888
12,-0.018623,-0.834421,-0.348000
13,0.009735,-0.625430,-0.126042
14,-0.001293,-0.949343,-0.183458
15,-0.011186,-0.897949,-0.194813
16,-0.015186,-0.790277,-0.194256
17,0.008374,-0.629478,0.081173
18,-0.000370,-0.850576,0.017580
19,-0.007951,-0.841940,-0.025041
20,-0.012116,-0.771703,-0.047966

[P]
landmark,x,y,z
0,0.000000,0.000000,0.000000
1,-0.009398,-0.031895,-0.282313
2,-0.023095,-0.127318,-0.301469
3,-0.034501,-0.187689,-0.249623
4,-0.043391,-0.210934,-0.176875
5,-0.024170,-0.456833,-0.178179
6,-0.043236,-0.471121,-0.228391
7,-0.054911,-0.454866,-0.266258
8,-0.064593,-0.437971,-0.287083
9,-0.025815,-0.363852,-0.031753
10,-0.040003,-0.217472,-0.118242
11,-0.045665,-0.037443,-0.191691
12,-0.048459,0.098386,-0.214474
13,-0.026644,-0.263869,0.090305
14,-0.036246,-0.111656,-0.044284
15,-0.030832,-0.012595,-0.135255
16,-0.026442,0.013294,-0.145064
17,-0.026941,-0.196778,0.196092
18,-0.032807,-0.068715,0.063897
19,-0.028619,0.000942,-0.005239
20,-0.024257,0.018752,-0.011808

[Q]
landmark,x,y,z
0,0.000000,0.000000,0.000000
1,-0.010248,0.042235,-0.447950
2,-0.021693,0.078607,-0.449945
3,-0.030045,0.240403,-0.330068
4,-0.036460,0.365701,-0.159515
5,-0.026750,-0.687642,-0.127123
6,-0.037889,-0.427383,-0.145336
7,-0.043001,-0.189187,-0.191252
8,-0.046848,-0.019602,-0.213617
9,-0.025017,-0.613601,0.148372
10,-0.031123,-0.254085,0.068808
11,-0.026042,-0.099115,-0.023547
12,-0.021154,-0.132276,-0.038915
13,-0.023450,-0.482681,0.378772
14,-0.028507,-0.172244,0.246129
15,-0.023710,-0.057097,0.096033
16,-0.020724,-0.113169,0.057717
17,-0.022317,-0.391048,0.582079
18,-0.025469,-0.145172,0.440485
19,-0.022010,-0.040171,0.323690
20,-0.019103,-0.066679,0.293779

[R]
landmark,x,y,z
0,0.000000,0.000000,0.000000
1,0.001286,-0.120139,-0.149003
2,0.001408,-0.310402,-0.180403
3,0.000733,-0.449883,-0.195125
4,0.000021,-0.559990,-0.195975
5,0.002019,-0.523590,-0.031741
6,0.001804,-0.715957,-0.088444
7,0.001270,-0.842066,-0.130484
8,0.000899,-0.949731,-0.156826
9,0.000880,-0.518984,-0.001428
10,0.001520,-0.744410,-0.071051
11,0.001671,-0.873899,-0.112408
12,0.001622,-0.984889,-0.122680
13,0.000199,-0.467160,0.003392
14,-0.000458,-0.585338,-0.146065
15,-0.000920,-0.429184,-0.182386
16,-0.000086,-0.335787,-0.155344
17,-0.001017,-0.388607,-0.001601
18,-0.001615,-0.467933,-0.134977
19,-0.001879,-0.355211,-0.154443
20,-0.001064,-0.281289,-0.134388

[S]
landmark,x,y,z
0,0.000000,0.000000,0.000000
1,0.005970,-0.261673,-0.239990
2,0.011032,-0.694785,-0.337486
3,0.007967,-1.041277,-0.414347
4,0.002627,-1.097289,-0.436711
5,0.006945,-1.176950,-0.093571
6,0.004618,-1.526140,-0.348327
7,0.004471,-1.143547,-0.470856
8,0.005775,-0.986363,-0.514028
9,0.001826,-1.135644,-0.062174
10,-0.000487,-1.463388,-0.324695
11,0.001008,-1.020883,-0.366777
12,0.002135,-0.932711,-0.328003
13,-0.002446,-1.062607,-0.077623
14,-0.005042,-1.363281,-0.336798
15,-0.003002,-0.954651,-0.250105
16,-0.001533,-0.850718,-0.119285
17,-0.006759,-0.964490,-0.115236
18,-0.008671,-1.181160,-0.241730
19,-0.006756,-0.914251,-0.146860
20,-0.005276,-0.802899,-0.032896

[T]
landmark,x,y,z
0,0.000000,0.000000,0.000000
1,0.016551,-0.360987,-0.339119
2,0.024231,-0.979442,-0.456400
3,0.016995,-1.534692,-0.542731
4,0.011642,-1.974309,-0.580543
5,0.022790,-1.432129,-0.162968
6,0.021825,-1.901393,-0.566043
7,0.016998,-1.559446,-0.765133
8,0.012787,-1.184971,-0.814873
9,0.008213,-1.368224,-0.101328
10,0.002078,-1.677859,-0.563685
